tweet_text,cyberbullying_type
from this christian woman you are right give me my alpha male any day i dont sweat beta boys not worth it,religion
this white guy keeps saying nigger and keeps calling black ppl apes over some basic white girl its disgusting beyond hope,ethnicity
have u heard of the toronto raptors an nba team u dumb fucks its about respect u fucking niggers,ethnicity
what the fuck you dumb nigger why did you go and copyright claim ksis video u dumb fuck just tryna make money,ethnicity
you got k dots album,not_cyberbullying
fuck u u faggot ass nigger im goin to go kill my self now better off dead than have some dumb fuck run my future fuckunobama,ethnicity
youre a presidentialfukup a traitor among traitors youre no leader but just the runny snotnose grammar schools schoolyard fatassed gluttonous bully only given conditioned respect and obedience the best poker game i played was watching kadafi pay,age
noo im a middle school bully,age
poor ben,gender
my school bullies following me here like they didnt just make fun of me less than a year agolt,age
a one time donation is still very appreciated ill give them that feedback though,other_cyberbullying
really i miss you buddy,not_cyberbullying
david corns collegial exuberant r the new im gay by kevin spacey disgusting excuses sexual predator behavior who jokes about rape,gender
rt dangerous to outsource iraq security to shia militia known for disappearances amp executions,religion
those coming from one source are not classified as sound so you are again a liar,not_cyberbullying
rt hoping they dont need you to speak because he buried himself,other_cyberbullying
day i did a safer sex workshop in a class w a very hot toc and it was truly reaffirming of how gay i am amp also how bad i am at classroom management when the class is a group of rowdy grade boys who just want to make rape jokes,gender
mkr kat and andre must be feeling so fd at this stage it really doesnt matter what they say,not_cyberbullying
well i hate it buti know what you mean thanks this will be rubbed in their hypocrite faces shortly,gender
i would pick sephora,other_cyberbullying
i always tweet my location,other_cyberbullying
idk why i would get so pissed off when bullies would call me gay in grade school they weren’t wrong,age
so how are you going to stop your pet muslim cause from stoning trans or pushing them from high places when they become powerful enough to impose their customs on us do you think the form of islam developing here is some watered down version which accepts gay practice idiot,religion
the shia militia are nearly as inhuman as isis,not_cyberbullying
dont be an idiot nobody threatened blumenthal he does this for self promotion,not_cyberbullying
tuskegee experiments are no more you idiot not to mention when the public found out there was an outrage “ice concentration camps” are you serious wowice is comparable to cpp killing muslims in real campswow,religion
nigger doesnt mean black dumb fuck look it up lol,ethnicity
are u looking at the same picture i am sorry everything isnt rose colored my family being survivors of racism know racist when we see it and you trying to justify it welli guessed you are okay with it god bless i will pray you have empathy for poc,ethnicity
“ fuck obama dumb ass nigger” you should pray tonight ask for forgiveness,ethnicity
well then,other_cyberbullying
next time someone calls vj a rape joke just ask them why they think gay sex rape that usually shuts em up d,gender
im not sure where it started but its not going anywhere good,other_cyberbullying
fuck that dumb ass nigerplease watch the demeanor,ethnicity
nan,other_cyberbullying
okay youre right im wrong gay and rape jokes are awesome kid rock is proud of us,gender
so let me see if i have this straight a congressman calls his female colleague a congresswoman a “fucking bitch” and attributes it to his passion and love of ‘god family and country” these people are nuts tedyoho republicans,gender
example this one white girl i knew would regularly fuck black guys but still regularly use the word nigger to describe them disgusting,ethnicity
“ fuck obama dumb ass nigger” maam have a seat,ethnicity
i taught middle school these kids have been through every bully preventionbe kind programout there since pre school and now it’s pro bully culture i also taught during just say no and dare lol loved teaching amp subbing,age
it’s unconfirmed tea but i have heard from a few sources who went to high school with hannah b and sydney that sydney was a mean girl and vandalized a classmate’s car and bullied hannah b so hard that she had a restraining order against her,age
im baffled and disgusted who raised these bitches mann ðð©,age
i had no idea she played the second black widow and the film is set in the past before natashas death literally anything could happen to pughs character in this film,ethnicity
,gender
i got bullied when i was in high school and when i was younger but thankfully i had older sisters who wanted all the smoke behind me i remember coming home crying and going to go tell both of my sisters because one girl thought that just because my sister wasn’t around,age
actually they follow the quran and the hadiths exactly its the moderate muslims who ignore much of their canon,religion
i wish more black people had watch big brother cbb coz we can’t allow this shit to slide he was way too comfortable saying “nigger boy” and he’s still allowed on the tv screen disgusting,ethnicity
rt just colluding and conspiring with,other_cyberbullying
first impression i want someone to have of me is shes solid i can work with her not shes definitely gonna suck my dick,not_cyberbullying
rt i spent the morning at the board of elections getting mapsdata to start registering every black person in ferguson ht…,religion
why are we letting them just take advantage of this little old lady whom by many accounts is senile,other_cyberbullying
yeah katie and nikki are so going to love annie mkr,not_cyberbullying
they are occupied because arab muslims want jews exterminated,religion
shut the fuck up niggerdumb hoes these days smh,ethnicity
gay isnt an insult rape isnt a joke feminism isnt saying women are better than men mental health is just as important as physically health,gender
feeling a whole lot of gozleme pain for sherri amp em mkr,not_cyberbullying
ur supposed to take pictures for proof even if it’s ur first one dude,ethnicity
rt these seems extremely unlikely of the entire female population are rape victims,gender
someone toasting u with baby ur face looks familiar rt so who still uses dat dumb line nigger fuck outta ere,ethnicity
theses are bulllies high school bullies,age
rt followers till,gender
if you would have been in china as muslimyou would be in concentration camphiding your beardidiot bit actor,religion
personally i am just glad when they use the actual word and not feminazi,gender
isisislamic terrorist you said that theyre quoting quran but islamic scholars do not agree with their interpretation of quran so here as well terrorists are quoting what they understood by their interpreting quran and not quran itself because majority of islamic,religion
get the fuck ova it and move on leave me out ur broke ass picture dumb nigger,ethnicity
why dont the like me andre mkr cuntfacebitch,gender
wtf ignorant is right rt tl this what this ignorant chick saidgtgtgtgt fuck obama dumb ass nigger,ethnicity
hey blizzard folks im obviously not looking to be headhunted but ill be dropping by your party tonight see you there,other_cyberbullying
people who propagate this idea with pictures like this dont know many black women i grew up with them and several are good friends im thinking of my friend brenda right now who is a great christian woman and a big woman not fat but tall and large boned this is not uncommon,religion
i know im supposed to care about the double standard with this cardi b drugging and robbing dudes story but i all i hear in my head is that chappelle line during a gay rape joke where he said welp caught me slipping you gotta walk that shit off,gender
rt yup idiots gotta wonder why when the country was going on justâ¦,other_cyberbullying
man wtf is this damn coon ass nigga billyblanks doing on that damn commercial cooneryatitsfinest,ethnicity
just saw a girl who used to bully me in primary school on tinder shes a lesbian too lol,age
tragedy rebecca black forced to drop out of school because of bullying,age
high school bully bye report,age
basically the entire community has become one big gay ship had a dude who was a hyper fanatic who called me homophobic sexist rape apologist and ignorant because he said i should get more than a military educationsince i was in the usaf,gender
i am offended by the grammar,other_cyberbullying
haha remember when people were all like “bi women calling themselves gay as a joke is the reason for corrective rape because straight men get confused as to who’s sexually available to them”,gender
sorry im not humble dick,other_cyberbullying
just days after an antifeminist lawyer murders the son of a female judge a florida congressman calls a disgusting fucking bitch,gender
idiot hell steamroll over you like he did scheer and harper because heres the thing when liberals have scandals its golf balls and patronage when conservatives have scandals its dead little muslim boys on beaches and marginalized groups having their rights taken away,religion
the blonde bitches are goneyet satan remains mkr,gender
stop saying nigger you look like a dumb fuck,ethnicity
rt favourite and cutest review so far yummy yummy yummy mkr hungrycampers,not_cyberbullying
has interesting events last year involving race a group of know nothing kids called out hes a whitenegro referring to my kid i called out dont worry honey just another racist maori funny thing here is that they werent really racist in a meaning full way,ethnicity
at this point beyond a handful of exceptions republicans are just the little kid at school getting bullied and giving away his lunch money it only ever stops when you snap and punch the bully in the mouth and go full ralphie on them,age
females will call you friendly for liking girls pictures but you see her under the picture “ twin” bitch you think she fine too,gender
big so to of the realest my main man its never a dull moment with him happy soul day hope its a great one mwuah,not_cyberbullying
faggot read my tweets after dat k it wasnt even funny lol,gender
im really disappointed that none of the campers threw their full shit buckets over cuntandandre katandandre mkr shitbags cantcook,other_cyberbullying
si oh hdkshajdkasdhakjsdhkjs ash me gusta hacerte bulling b,not_cyberbullying
well you’re nice point is that joey negro is a white man called dave and he is rightly being called out for his offensive name enjoy your evening and maybe do some reading,ethnicity
rt this blog is a long one but i felt i had to be very clear about this racism onmybirthday,not_cyberbullying
everyone should chill out srsly rape is nothing to joke about and as for larry if theyre gay theyre gay if not theyre not its not your life,gender
well its been a great start to the week with an interesting email arriving this morning happy days,not_cyberbullying
islamic terrorism is no different thn christian racism amp hindu casteism every religion is stupid if you support one by defaming others you just need some good education amp yea degree or scores are nt education they just say how much u can remember so u r uneducated still,religion
lt,other_cyberbullying
if you don’t support christianity you ain’t a christian thealley,religion
i will fight the bully for him in middle and high school istg,age
yeah i know what you mean i knew when i got older my skin would clear up and it did weight changes over time and is something you can fix usually i have definitely been bullied for being a girlwoman which really sucks but whatever i can’t change it high school is over,age
rt “ turn your location on rt fuck obama dumb ass nigger” turn that ish on,ethnicity
penny arcade forced victims of sexual assault to be public with their stories so we could protect others,other_cyberbullying
yup,not_cyberbullying
absolutely,gender
i do wish we could move past “mentally ill people never do anything wrong” vs “mentally ill people are horrible” discourse mental illness can be an explanation for certain behaviors but we need to push to a recovery minded discussion instead of this blackwhite thinking,ethnicity
nan,age
bruh hyunjin from stray kids looks like my former high school bully i,age
that’s an absolute no from my family the first thing y’all did was start calling the governor childish school yard names it reeks too much if the idiot in the wh you are both bullies no no no,age
i love,other_cyberbullying
“ drunk fuck off” in drinker than a nine eyed nigger and i aint that dumb,ethnicity
i used to bully him in high school,age
blameonenotall is not because i want to be congratulated by not being a rapist its because i dont wanna be categorized with stupid men,gender
i liked a video from feminazi fail,gender
mario kart since i wont buy mario kart since i already have it on my wii u,age
eating next to feminazis lt eating next to anything else in the world,gender
to hide and cover up islamic terrorism and ur hate against hindus u call modi terrorist modi faced all investigations under upa ruleu hav no faith in indian judiciary if it doesnt appease u,religion
i thought noone was eating the meatballs whos annie even talking to her imaginary friend mkr,gender
rt thanks bing,other_cyberbullying
got em theyre only a bag must not be very popular here,not_cyberbullying
i want a telfar because the bags are sooo cute and it’s black owned but if we know anything from these past few years it’s all skin folk ain’t kinfolk and money makes people act up i’d hate to purchase and the creator comes out saying weird antiblack assimilationist bullshit,ethnicity
no it’s just as racist as the rest of europe don’t you dare claim that uk is such a lovely place you nearly elected jeremy corbyn a terrorist supporter jews get attacked on an hourly basis muslims do too if you seriously think uk is the least racist you’re an idiot,religion
fuck obama dumb ass nigger ltlt hell naw this country bumpkin ass hoe needa shut the hell up wit all that,ethnicity
what is the context of this quote more bullying of the media,not_cyberbullying
fucking flies resident evil biohazard via,other_cyberbullying
spop tumblr is super laid back and full of great metas and analysis spop twitter reminds me of the girls who bullied me in high school,age
giving your kids names like that is just asking for them to be bullied in school,not_cyberbullying
looking forward to the next round of restaurants mkr,not_cyberbullying
i gave it a second glance didnt see anything interesting getting mad about that is like raging at a livejournal post same quality,other_cyberbullying
a lot of schools i have visited resemble some prisons i have visitedminus the barshmmmmm america,not_cyberbullying
shaving has little to do with hygiene p,other_cyberbullying
rt im sure all the christians in mosul agree with you wait they were all killed or driven out stillaf…,not_cyberbullying
twitter do the stuff this guy smh he said nigger in danish it disgust me that this guy even have the nerve to write it and post it on his snap i took this pic and blocked him after it’s disgusting because he knows what’s going on rn blacklivesmatter,ethnicity
who the fuck do you think u r fukn dumb nigger,ethnicity
the show jokes about rape domestic abuse suicide roadkill and people get mad at gay jokes are you kidding me,gender
when daesh made children into killers committing genocide against minorities and slavery they wrote their own obituary,not_cyberbullying
rt there is nothing more retarded then a female who talks shit about kicking a guys ass im not sexist but get real bitch,gender
its hard being around people who arent actively trying to fight their own oppressive behaviors find your people to keep you calm,not_cyberbullying
consent issues are the most widely discussed for a reason attemptedactual rapegangrape that is shrugged off in universe is frighteningly common but theres also the colourism various forms of sexism beauty standards fat shaming camp gays being jokes not characters,gender
haven’t seen a reference to lgbtiq like that since kevin spacey saying he was gay when allegations against him first surfaced also his take home message not ‘don’t joke about rape’ but essentially ‘don’t get caught on facebook’ whole thing was awful,gender
rt right on time new wave of horseshit messages being sent to me by ggers shits just flinging from all sides tonight in…,other_cyberbullying
the political left in america has aligned itself with radical islama religion devoted to the destruction of israel and america there has been a perpetual fatwa against jews and christians for centuries yet the majority of jews continually support the democrat party jexit,religion
please let a female reporter call trump a lying bitch to his face and claim she was compelled by her passion dedication to god family and country to do so,gender
i will fuck this dumb nigger up,ethnicity
from a centrist standpoint there seems to be a lot in common with far left and far right you said china socialist you defend them for murdering muslims to “prevent terrorism and avoid unemployment” my dude i prefer to be an idiot and a child than whatever you are,religion
rt mr abu bakr albaghdadi gallops away from gwer letting others die for him coward khilafah dawla dawlah raqqa,not_cyberbullying
that last tweet proves i am the only one doing gay rape nerd jokes in this town,gender
check this idiot out thinks scurvy somehow disproves atheism and darwin what a tool,other_cyberbullying
actually said was death threats misgendering and making fun of her appearancemaking dysphoric comments and even threatening rape that response is the exact reason why she is allowed to joke about something like that if gay men didn’t go out of their way to ruin trans,gender
niggers are dumb as fuck its saying only white people can be smart if youre smart or speak proper ur white or copying them,ethnicity
rt would you prefer i say massa oh i dont wana speak ill of my masse da white man housenigga…,ethnicity
lmao the quran is wasn’t written by “dead people” it was written by the final prophet muhammad who is loved by all muslims and allah u still a sheep on twitter listening to idiots while i listen to my creator anyways you r the joke itself so i’m not giving u my time anymore,religion
the gun and the bully had my ass stressed in middle school,age
i got bullied by skin color was too dark for them and my hair was too bushy threw gum at me pushed me harrased me every day pulled my hair i was a quiet little girl made very good grades middle school years first high school year were horrible,age
saudi arabia malaysia indonesia uae etc are muslim countries and they are not in the ban it’s not a muslim ban it’s a ban on countries that are safe grounds for terrorists you idiot muslim brotherhood,religion
jokes dont make pakistan peaceful country only few of people rules in pakistan pakistani army and terrorist group dont you know who create alkaydataliban and many of such type groups for killing humanity in world on the name of fake jihadhumanity ka matlab bhi pata hai,religion
im not calling out any names if i was theres different instances ive seen this week,other_cyberbullying
in january susan rice assured npr the obama admin removed chemical weapons from syria viâ¦,other_cyberbullying
when you think about it shouldnt people be more upset with daves rape joke than the gay and trans one,gender
his area of expertise is handing money to the school bully while keeping his teeth in tact,age
and you are a dumb ass for that statement “ fuck obama dumb ass nigger”,ethnicity
is daily begging for likes something you think of as classy amp professional,not_cyberbullying
gross ronaldinho has come out fiercely in support of the farright rapejokemaking gay hating brazilian presidential candidate who wants to take the country back to a military dictatorship,gender
if you do t laugh at rape jones then dont laugh at race jokes gay jokes any jokes,gender
hey jakecall a female colleague at cnn a “fucking bitch” and see what happens to you this “man” is on the job for us how dare he,gender
hahahhaha that sounds like something id do p,other_cyberbullying
sorry i cannot get over someone making that comparison referencing a year old classic to rebut modern criticism yeesh,not_cyberbullying
anytime i watch this show i move figure out how to hire an intern higher up my list of shit to get done,other_cyberbullying
im sorry but im not watching another round this is getting beyond ridiculous when you actually get people who can cook let me know mkr,not_cyberbullying
i mean you claim islamic terrorism i could easily claim us conspiracy,religion
leah someone bullied me and my friends on royale high they kept insulting me and my friends for no reason they even said they like bullying i even had to write down their users i even have photo proof those two girls they were being starcastic about being scared of matt those two,age
i see that nowdidnt get far enough into his tl,other_cyberbullying
am i wrong to not be offended by a comedian telling a taboo jokes its like god its not real its a comedian doing standup pedophile jokes are funny is that only because i wasnt molested abortion gay and rape jokes can be funny amp im a very liberal progressive its a joke,gender
and here we are getting the raw end of the whole “gay men are predatory and turn straight men” stereotype all three of them threw out now straight guys think they have a free pass to make “james charles tried to rape me” jokes if it’s a stunt all are cancelled for real,gender
sorry i couldnt help myself,other_cyberbullying
so i implore you to not support any of her projects if youve already contributed towards her book pull out this is horrible,other_cyberbullying
they really know how to drag a show out with mkr,not_cyberbullying
not therapy not rights activists not the police itll complicate it for her if she doesnt want to talk just a christian woman counselor wholl help her psychologically and have her more familiar with the super emotional healing powers of christpeaceofmind,religion
maybe but travellodging would have to be covered,other_cyberbullying
is that just a male thing whenever i click on female friendlyfemale choice porn its same as main content,gender
u r forgetting that a bharati can say what he likes about muslimvirus era of islamic terrorism is coming to an end,religion
rt a restaurant and a cookbook for mykitchenrules twins helena and vikki mkr,not_cyberbullying
and there have been dozens of witnesses who have seen the russians target civilians for propaganda,not_cyberbullying
another round of instant restaurants are you serious mkr yawn,not_cyberbullying
he put filtersâ¦,other_cyberbullying
doesnt drive but is in many cases an accurate reflection,other_cyberbullying
the missus loves mkr if i have to watch five more minutes of these stuck up idiotic bit hookers ill neck myself goingtobed,gender
fuck you you dumb orange nigger,ethnicity
class of in the house,not_cyberbullying
this one group of guys from my high school would always do this and would even moan the last name of a girl they bullied,age
fighting for him would mean not forcing him to become a jihadi hate monster,religion
typical mad cracker tweet “ fuck obama dumb ass nigger”,ethnicity
can i live on alterac valley drive,other_cyberbullying
teenage alena at school flexing on bullies,age
i didnt tweet anything at first they were coming at me i have nothing against bts i dont like them but ive alwaysnkept it to mysef and someone from ur army came to my dms to tell me how “fucking ugly” louis is i respect bts fans if u could respect one direction fans,ethnicity
we would be much better off figuring out what to do about islamofascim than ranting about freedom of speech or who went to paris islam,religion
at some point theres still a few bugs i need to work out with proper attribution of rts to people that issued them minor stuff,other_cyberbullying
omg jus realized one of the girls that bullied me in high school boyfriend is subscribed to my onlyfans,age
stop,other_cyberbullying
ive got reason to believe that im not anywhere near hitting that cap my numbers can be verified from other sources,other_cyberbullying
whyidontliketrump everything hes like that bully in school that got in everyones face and was stupid as hell,age
we are in the wall street journal game developer the gaming industry is not doing enough to combat misogyny,other_cyberbullying
the prophet mohammed did the same thing baghdadi can quote quran and hadiths for every action he takes,religion
i want start a no niggers campaign im so tired of them dumb fucks n the ppl that love n raised them,ethnicity
only if i can get a pass somehow,other_cyberbullying
and another thought you tan yourself to be dark as night and have the caucasity to disrespect black women you say nigga this nigger that while know the backstory of that word it’s disgusting bout get red in the face and call us sensitive when we correct you,ethnicity
this is islamic justice,not_cyberbullying
nan,other_cyberbullying
why russia can’t be america’s ally what putin doesn’t want you to know about moscow’s persecution of christians and support for radical islamists russia “a reliable ally” to the “islamic world” a litany of radical islamic regimes and tyrants,religion
the apharthide is a muslim thing they have exterminated jews and christians in most of me,religion
if females don’t wanna be called females i’ll gladly call them bitches instead tf,gender
rt im not sexist but i havent subscribed to a single female youtuber,gender
i was browsing through netflix to find something that i could watch then saw again and wanted to watch the part where he shut down a bully and school him i ended up watching the whole movie and cried at the ending welp,age
idioti’m not a muslimbut basically you must know the power of religions,religion
slashing net neutrality wont change the marketplace how dumb do you think we are,not_cyberbullying
how sick is the left imagine if this were bho’s child racism white supremacy or white nationalism take your pick lara trump blasts disgusting incident when woman spit on her husband via,ethnicity
u no well ˘˘̯ racism is wen u select your white clothes to wash first before the black colored ones dont be a racist,ethnicity
couldn’t beat a bit of bully to give you the monday school week fear,age
timothy dalrymple is a leftwing radical who uses whatever christian platform he has attached himself over the years like sojourners for example to advocate for hamas terrorists in the s unity with islam and support of communism cancelct,religion
make all the roger in jail jokes you want but “dropping the soap” jokes make light of rape and insult gay men,gender
im in class nigga df,ethnicity
kaffir means non believer so if youre not a muslim youre a non believer and therefore youre a kaffir idiot,religion
i was bullied a lot but i only had this specific thing when i was in high school with a lot of kids from a rich district and one time this girl was talking to me like youd talk down to a small kid and i didnt understand why bc ive always acted even more mature than my age,age
remember the last race she was cribbing questions to hill exore the debates and then said she was a “christian woman” ms mcdaniel you have st amendment rights and please continue to use them tell to gowelljump,religion
i straighten my bangs you dumb fuck gtfo you ugly ass nigger,ethnicity
getting my cut and curls friday before i head to the airport,not_cyberbullying
possibly want to see how this evolves internet video conf may become a thing,not_cyberbullying
·i rememberhow could i forget,not_cyberbullying
irrelevant girl give it years shes going to lose sexual market value then ill ask her to pass the bag,gender
rt kind of disappointed the promo girls have gonethey werent very nice but kat from wa is horrid mkr mkr,not_cyberbullying
i still can’t believe that a fan fiction about harry styles became a published book and a movies and i also can’t believe that i read it when i first got wattpad without knowing who one direction were tbfh it romanticizes a toxic relationship don’t base ur standards off it,ethnicity
ryin seems chill and smart i apologized well tried to but he told me fuck off you dumb punk bitch ass nigger i didnt think he that,ethnicity
you are fucking amazing and i love you,other_cyberbullying
im so glad i went a school with normal people and also bullies,age
so she can try amp claim innocence but statistics paint her as being someone to avoid and ive been in her sights for a while oh well,other_cyberbullying
the sign when an idiot loses an argument is when they throw around the word racist and you miss the point i dont believe the quran but a billion muslims do but history says he had slaves and was a trader you need to read more instead of being brainwashed by bbc news,religion
cant even make your own chicken stock mkr,other_cyberbullying
you are so idiots that you the muslim fascists dont really know that ayasofya is saint sophiaαγία σοφίαgreek and not turkishchristian and not muslimat least you can call otherwise and not ayasofyaevery body is laughing with youthe end is approaching the lira is collapsing,religion
women have a problem with the word ‘female’ but call each other bitches lol,gender
“ at least the promogirls might have a future in creating new ben amp jerrys flavours mkr icecreamqueens” offal and marrow,gender
i came from pakistan where people joke about rape gays misogyny etc on national tv and the majority laugh at it and a minority stands up for themamerica’s on the other end of the spectrum people are tribal by nature but trust me you don’t want it the other way around,gender
brass monkey drink a little less than half the then fill it up with oj brass monkey as in the beastie boys song,not_cyberbullying
omg i need some plz,other_cyberbullying
writing up a blog post re volunteers timing it for a few hours from now because no one ever sees my am blog posts p,other_cyberbullying
i loved him as fsj i hated him as himself,other_cyberbullying
white ppl do not kno how to fully communicate thee earths root powers called north lamerika neither can a maimed negro esp not an immigrant their blood mind is incapable so who tf should u mfs b getting the nus from when it comes to this climate,ethnicity
mkr oh nooo goodluck yall,not_cyberbullying
how dare you say this what can we accept from you amp sonia antonio maino idiot i dare you to ask muslim mosques and christian churches who has grabbed land of india asked them to give that land for hospital building,religion
please nominate for a shorty award in nonhuman,not_cyberbullying
recently i was dragged by someone in the community for being both pregnant and antirape jokes i told him i would expect to be treated better by someone in my community and was told i know nothing about the gay community i’ve been queer the majority of my life,gender
black people decide if black jokes are offensive ditto with gay people rape victims decide when rape jokes are offensive no exceptions,gender
elementary school fucking sucked for me for this high school was surprisingly fine like other than one girl who bullied me because i was ugly i was largely left alone,age
he is our generations donald glover except gay and did not spend his early s making rape jokes and is socially aware and makes an effort to not offend with his jokes,gender
nobody mentioned that being gay was a joke youre reaching for reasons to argue and thats just sad just let them make inoffensive memes rape is not a joke and they arent making fun of it they are joking about dolphins and what happens in the animal kingdom,gender
no parents wont get into trouble because home schooling is perfectly legal schools like to bully parents to get government funding governments like to bully parents to keep them in systems that teach them what to think and not how to think,age
on a scale of milo on a bad hair day to adam baldwin being mistaken as being a baldwin brother how mad do you think gamergate is rereddit,other_cyberbullying
but all the crimes of islam are exactly according to their beliefs,religion
fuck u u dumb ugly fucking fraud fake ass admin dumb niger,ethnicity
like i said let that go darkskin girls get bully way more yall got bullied in school they got bullied even when they finish high school like i said let that hurt go get over it stop trying in divide the black community because you got your feelings hurt,age
radical leftists support all women except conservative women pro life women christian women white women women who aren’t feminists women who don’t wear pussy hats women who refuse to kill unborn babies women who love their husband women who enjoy being a woman,religion
you look like someone who would bully me in middle school but still i do like you lmao,age
nan,age
or internal islamic terrorism which is a problem if the us wasnt there the most likely focus of terrorists would be russia and they could devote full effort,religion
origin is a flaming piece of shit,not_cyberbullying
to what are you referring to who are these idiots that you speak of,other_cyberbullying
i see this a lot of girls in particular if i had a penny for every tweet i’ve seen abt how “some girls never grew out of the bitchy bully high school mentality” n its like hello that attitude was never ok n the ppl u bullied me are real ppl not some natural stage of development,age
he was fired and the people that ive talked to only really know him as a legend not the kind of legend you want to be known as,other_cyberbullying
oh your talking about nigger imbtalking about niggas as in homies and friends you fucking dumb fuck dum ass stalker,ethnicity
girls please dont let the leftovers go to waist my dog would really appreciate it mkr,other_cyberbullying
you are pushed ti resorting treating thr bullies is you percent then from being pressured most school sitters evidence severe bullying treat thre bullies and it isnt a problem,age
so mandem walk up on him like wah who saying nigger to who called u a nigger you fucking dumb i will fuck u up in this bitch coughs up flem some random lady starts to hold me the fear of god i seen in his eyes when i started to wild out her see what u done u racist bih,ethnicity
frank putting some idiot in his place,other_cyberbullying
man middle school bullies never change,age
i agree dt rebecca blacks songs are kinda bad bt its so mean dt she was bullied outta school noh people noh,other_cyberbullying
right hell just ignore it it cracks me up that they think trump is really a racist that he would cringe at the very thought of saving a black life if anything hes cringing over all the black lives that has been lost in the past few weeks,ethnicity
lol at angry men writing me essays through facebook messenger that amount to be nicer when youre being harassed,other_cyberbullying
oh dear,other_cyberbullying
just like back in school if you let the bullies bully you they will continue to do so,age
rt this is disgusting,other_cyberbullying
so what if i give you dollars eveyday in fear that youll beat me up if i dont its not like im getting bullied or anything scoffs,other_cyberbullying
so funny cause i’ve always ended up being good friends with the school bullies lol and i’m not sure why or how cause i’m so friendly i don’t need mhleli replying to this tweet thanks,age
last but not least shoutout to those guys on the bus in georgia that were talking shit until they ran after being confronted by my friend,not_cyberbullying
ohmy wrk cloths shut the fuck up u dumb ass nigger,ethnicity
“ wait what rt fuck obama dumb ass nigger” wow youre a fucking disgusting human being holy shit,ethnicity
bullying needs stop stopbullying,not_cyberbullying
yeah theyre totally just rain vaginas a man with an umbrella just doesnt look right im with you bro notsexist,gender
if you follow they follow back and then randomly rtfav your stuff if they like it its weird,not_cyberbullying
i hope that pens fan dies you dont call wayne simionds a dirty nigger hes canadian you dumb fuck,ethnicity
its exactly that some men would refer to women as bitches when we said just call us women they switched to females as if calling us women while calling themselves men was so difficult an ex guy friend actually got mad at me for asking him to use my name instead of bitch,gender
nan,age
its just a truth of history the red head is the real nigger ok the earth has only bean for years then you dumb fucks i knew she had brown eyes who ever she was in that shadow what do ya wanna take from me now take this fire and be burned then you dumb fucks,ethnicity
i got bullied for having long hair up to th grade when i finally decided to cut it off to avoid being called a girl in high school and in high school i just never really fit in now im rocking some ft long hair,age
y’all really bullied girls in high school for being “crazy” as if that isn’t a turn on huh,age
fuck obama dumb ass niggerthis bitch crazy,ethnicity
the same girls that bullied me and many others throughout high school are now preaching ‘girls should support girls’ did you forget about that when you would comment this on my instagram pictures you made high school an unhappy place for so many people do not forget that,age
awesome cant wait to hear from you,other_cyberbullying
goes well with leo,other_cyberbullying
thats gay chill with that before i have to bully you,not_cyberbullying
sometimes i feel like olivia pope,other_cyberbullying
no racism shes taking a pic of different colored americans it was her first time to the u s of a,ethnicity
my friends told me that in their high school a guy with autism was bullied by girls those girls deserves to be expelled and not suspended for days only i believe in justice and karma,age
ie someone once told me it didnt matter if a rape accusation was accurate because the target was a terrible person,other_cyberbullying
its been a really long saturday i still havent slept this is why its still saturday im tired amp i just want to curl up but waiting,other_cyberbullying
rt im no sexist but to pay the mens and womens wimbledon champions the same prize money is farcical as jobs go theyre ent…,gender
i agree with this statement,other_cyberbullying
i have a sunburn,other_cyberbullying
who sarah she didn’t say anything for a long time bc her black stans asked her not to but to amplify other black voices bc she has such a large platform when the time was right she did speak amp she continues her path of education about black issues far past the moment next,ethnicity
that nigger so dumb lol,ethnicity
and cohesive force for these loose gathering is quranmohammad same as is with isis taliban pfi terrorists etc,religion
the fulani’s brought radical jihad to nigeria with all extremism domination with a plan to massively slaughter of christians this government appears to remain in support of fulani’s colonization of indigenous christians by doing nothing to stop this daily killing,religion
ashhh ni se quejen que uds igual me hacen bullying ehhh pobre de mi,not_cyberbullying
rt the worst part of living in lorain isnt the crime or the pot holes or anything like that its knowing my mayor is a châ¦,not_cyberbullying
feminism fighting for equality in the workplacewell kinda womenagainstfeminism gamergate maleprivilege,gender
rodger sone called rollen martin a fat negro on twitter this is the piece of shit trump likes openly racist old white men,ethnicity
elements from their culture they tend to get defensive abt religion rather thr have been terror groups misusing allahs name everydaybut that dsnt offend u but someone using the term islamic terrorism sounds more offensive tablighi jamaat was hardly condemned by muslims,religion
i made a post on my personal instagram about dealing with bipolar disorder the girl who bullied me in high school we also went to church together and were good friends for a while commented on it and was supportive my first instinct is to say “fuck you” so many,age
those are from years ago please he has never been accused of sexual assault where tf fid you read that i he made one rape joke when he was drunk and depressed in the apologized for it later he never fetishized anything he’s pansexual and a gay icon himself he,gender
i wish he will back hahahaha,not_cyberbullying
muslim mob violence against hindus in bangladesh continues in islam,religion
i think ur the first one w,ethnicity
im not complaining but do the black men who apply for this show do anything outside of education the past seasons theyve all been in that field marriedatfirstsight mafs,ethnicity
actually to the what you wrongly refer to as palestinians their oppressors are plo hamas abbas and all the corrupt leadership israel is the safest place in the mid east for muslims to live idiots,religion
rt im not sexist or anything but wow women can be totally cray cray at times haha,gender
when the girl who bullied me in high school dms me on facebook about an exciting small business opportunity,age
u shoulda colored her face black lol rt i just experienced racism for the first time today from at year old,ethnicity
